epoch,accuracy,loss,val_accuracy,val_loss
0,0.8535242080688477,0.5646712183952332,0.8140000104904175,0.6843016743659973
1,0.9858499765396118,0.05825367569923401,0.9537500143051147,0.15919579565525055
2,0.9904385209083557,0.037126995623111725,0.9375,0.2460472583770752
3,0.9950000047683716,0.02039354108273983,0.9427499771118164,0.2084668129682541
4,0.9935923218727112,0.025423942133784294,0.9610000252723694,0.1384371668100357
5,0.997196614742279,0.010504656471312046,0.9259999990463257,0.26725101470947266
6,0.995794951915741,0.016101637855172157,0.953000009059906,0.15990372002124786
7,0.9977999925613403,0.008461188524961472,0.9537500143051147,0.16293597221374512
8,0.996999979019165,0.010577570647001266,0.9549999833106995,0.15938493609428406
9,0.9966999888420105,0.01057851780205965,0.9637500047683716,0.12615185976028442
10,0.9989487528800964,0.004293784499168396,0.9457499980926514,0.21480540931224823
11,0.9980999827384949,0.008126141503453255,0.9555000066757202,0.16787447035312653
12,0.9965959191322327,0.010594300925731659,0.9455000162124634,0.25079765915870667
13,0.9985983371734619,0.005343595054000616,0.972000002861023,0.10746829211711884
14,0.9978474378585815,0.007249110843986273,0.9637500047683716,0.1335405856370926
15,0.9987484812736511,0.004427093081176281,0.9637500047683716,0.14655230939388275
16,0.9984481334686279,0.004757638089358807,0.9567499756813049,0.16091038286685944
17,0.9983000159263611,0.004926192108541727,0.9710000157356262,0.1115286573767662
18,0.9986984133720398,0.0039956956170499325,0.9737499952316284,0.10885132849216461
19,0.9994500279426575,0.0019164171535521746,0.9607499837875366,0.1415560096502304
20,0.9994500279426575,0.0023514016065746546,0.9672499895095825,0.15285761654376984
21,0.9985482692718506,0.005917300004512072,0.972000002861023,0.11615099757909775
22,0.9993993043899536,0.0019143904792144895,0.9739999771118164,0.1208406463265419
23,0.9989988207817078,0.0030324046965688467,0.9647499918937683,0.14227299392223358
24,0.9986500144004822,0.004943246953189373,0.9567499756813049,0.18543627858161926
25,0.9995999932289124,0.0015356004005298018,0.9712499976158142,0.1186753660440445
26,0.999849796295166,0.000839029613416642,0.9747499823570251,0.09374557435512543
27,0.9994993805885315,0.0022040035109966993,0.9750000238418579,0.11120536178350449
28,0.9990488290786743,0.0027537692803889513,0.9682499766349792,0.13019461929798126
29,0.9998999834060669,0.0005178567371331155,0.9757500290870667,0.09853338450193405
30,0.9999499320983887,0.00041029226849786937,0.9732499718666077,0.12427005171775818
31,0.9994999766349792,0.001571795903146267,0.9622499942779541,0.15043777227401733
32,0.9987499713897705,0.0039467886090278625,0.9750000238418579,0.1011359691619873
33,0.9994493126869202,0.001370829762890935,0.9647499918937683,0.15320414304733276
34,0.9998499751091003,0.0007103813113644719,0.9754999876022339,0.09564316272735596
35,0.9997000098228455,0.0008306814124807715,0.9800000190734863,0.0830305740237236
36,0.9994993805885315,0.0013997387140989304,0.9750000238418579,0.09908236563205719
37,0.9998000264167786,0.0006039922009222209,0.9480000138282776,0.23182380199432373
38,0.9993993043899536,0.0025043131317943335,0.9772499799728394,0.09981821477413177
39,0.9998998641967773,0.0005765263922512531,0.9742500185966492,0.11084049940109253
40,0.9989988207817078,0.0028495804872363806,0.9742500185966492,0.11849965155124664
41,0.9996500015258789,0.0012115170247852802,0.9727500081062317,0.12871290743350983
42,0.9997997879981995,0.0009671985753811896,0.9789999723434448,0.10168831050395966
43,1.0,0.00023288527154363692,0.9802500009536743,0.08036854863166809
44,0.9999499320983887,0.00017781111819203943,0.9794999957084656,0.08107537776231766
45,1.0,9.817202226258814e-05,0.9810000061988831,0.0805591568350792
46,1.0,9.176872845273465e-05,0.9789999723434448,0.09249111264944077
47,1.0,7.532341260230169e-05,0.9797499775886536,0.08897324651479721
48,1.0,4.2855812353082e-05,0.9829999804496765,0.08469156175851822
49,1.0,5.156645056558773e-05,0.9797499775886536,0.09126777201890945
